"Timestamp","Which year are you in?","How are you feeling right now?","On a scale of 1-100, how would you express this feeling?","Gender","Age","Your location ?","Relationship status","Are you happy with your financial state?","How much have you succeeded to cope up with the environment of your educational institution?","Understanding with your family members?","Are you feeling pressure in your study or work right now?","Are you satisfied with your academic result?","Are you happy with your living place?","Who supports you when you are not succeeding in your academic life?","Have you used any social media within the last 6 hours?","Do you have inferiority complex? ","Are you satisfied with your meal today?","Are you feeling sick/health issues today?","Have you done any recreational activity (sports, gaming, hobby etc.) today?","How long did you sleep last night?(in hours)"
"2020/12/22 10:14:29 AM GMT+6","4th year","Normal","70","Male","22","Home","Single","Yes","3","Normal","Yes","Not applicable","Not applicable","Family","Yes","Yes","Yes","No","No","5"
"2020/12/23 9:10:58 AM GMT+6","3rd year","Very good","80","Male","21","Hall-Mess","In a relationship","No","2","Normal","Yes","Not applicable","Yes","Family","Yes","Yes","No","No","Yes","6"
"2020/12/26 10:09:01 AM GMT+6","3rd year","Very bad","10","Male","21","Hall-Mess","In a relationship","No","2","Bad","Yes","No","No","Friends","Yes","Yes","Neutral","No","No","3"
"2020/12/26 10:18:08 AM GMT+6","3rd year","Very good","90","Male","21","Hall-Mess","In a relationship","No","3","Normal","No","Not applicable","No","Friends","Yes","Yes","Yes","No","Yes","6"
"2020/12/26 10:21:58 AM GMT+6","3rd year","Normal","70","Male","21","Home","In a relationship","No","3","Normal","No","Not applicable","No","Friends","Yes","Yes","Yes","Yes","No","7"
"2020/12/26 10:24:44 AM GMT+6","1st year","Bad","20","Male","19","Hall-Mess","Single","No","1","Normal","No","No","No","Friends","Yes","Yes","No","No","No","7"
"2020/12/26 10:28:17 AM GMT+6","1st year","Bad","30","Male","19","Hall-Mess","Single","No","1","Normal","No","No","No","Friends","Yes","Yes","Yes","No","Yes","7"
"2020/12/26 10:32:11 AM GMT+6","1st year","Very good","80","Male","19","Hall-Mess","Single","No","2","Normal","No","Not applicable","No","Friends","Yes","Yes","Neutral","No","No","6"
"2020/12/26 10:35:38 AM GMT+6","2nd year","Good","70","Male","20","Home","Single","No","2","Normal","No","No","Yes","Friends","Yes","Yes","Yes","No","Yes","8"
"2020/12/26 10:41:23 AM GMT+6","3rd year","Very good","80","Male","20","Department","In a relationship","No","3","Normal","Yes","Yes","Yes","Friends","Yes","Yes","Yes","No","Yes","6"
"2020/12/26 10:44:19 AM GMT+6","3rd year","Good","70","Male","21","Hall-Mess","In a relationship","Yes","3","Normal","Yes","No","Yes","Friends","No","Yes","Yes","No","Yes","6"
"2020/12/26 10:47:08 AM GMT+6","2nd year","Normal","60","Male","20","Hall-Mess","Single","No","2","Normal","Yes","No","No","Friends","Yes","Yes","Yes","No","Yes","7"
"2020/12/26 10:49:47 AM GMT+6","2nd year","Good","75","Male","20","Hall-Mess","Single","No","2","Normal","Yes","No","Yes","Friends","Yes","Yes","Yes","No","Yes","7"
"2020/12/26 10:51:57 AM GMT+6","2nd year","Bad","20","Male","20","Hall-Mess","Single","No","2","Normal","Yes","No","No","Friends","Yes","Yes","No","Yes","No","6"
"2020/12/26 10:54:41 AM GMT+6","3rd year","Good","70","Male","21","Hall-Mess","In a relationship","Yes","3","Normal","No","Yes","Yes","Friends","Yes","Maybe","Yes","No","Yes","8"
"2020/12/26 11:01:53 AM GMT+6","4th year","Very good","90","Male","22","Home","In a relationship","Yes","3","Good","No","No","Yes","Friends","Yes","Maybe","Yes","No","No","8"
"2020/12/26 11:27:25 AM GMT+6","4th year","Good","80","Male","23","Home","In a relationship","Yes","3","Good","No","No","Yes","Friends","Yes","Maybe","Neutral","No","Yes","8"
"2020/12/26 11:28:43 AM GMT+6","3rd year","Normal","65","Male","20","Playground","Single","Yes","3","Normal","No","Yes","Yes","Friends","No","Yes","Yes","No","Yes","7"
"2020/12/26 11:31:34 AM GMT+6","3rd year","Normal","65","Male","22","Hall-Mess","In a relationship","No","3","Normal","Yes","No","Yes","Friends","Yes","Yes","Yes","No","Yes","6"
"2020/12/26 11:33:49 AM GMT+6","1st year","Very bad","10","Male","19","Hall-Mess","Single","No","1","Normal","Yes","No","No","Friends","No","Yes","Yes","No","No","6"